dataset,noise_type,noise_rate,rep,seed,train_size,val_size,test_size,clean_train_amp,clean_train_nonamp,number_noisy,amp_to_nonamp,nonamp_to_amp,validation_labels_clean,test_labels_clean,nested_noise_within_rep,label_column,sequence_column,source_split_dir,input_sha256
GenPept-Curated-2025,class-balanced symmetric label noise,0.0,1,42,7700,990,2310,3850,3850,0,0,0,True,True,True,label,sequence,/data/jsw/robust/data/GenPept-Curated-2025/outputs/03_split,"{'train': 'e513cb11550c37ab34683d2f3e20966adc8c09873a8d51a22ee3ae125f6a4594', 'val': 'c350bd68c56e769e1138388fdb0a0a2f1e497151baedd867901ccedb708adedc', 'test': '11c79a6425782bf9b554ac82df53afe0635bc0d458f7208fe0b4a6f9898fa5ca'}"
GenPept-Curated-2025,class-balanced symmetric label noise,0.1,1,42,7700,990,2310,3850,3850,770,385,385,True,True,True,label,sequence,/data/jsw/robust/data/GenPept-Curated-2025/outputs/03_split,"{'train': 'e513cb11550c37ab34683d2f3e20966adc8c09873a8d51a22ee3ae125f6a4594', 'val': 'c350bd68c56e769e1138388fdb0a0a2f1e497151baedd867901ccedb708adedc', 'test': '11c79a6425782bf9b554ac82df53afe0635bc0d458f7208fe0b4a6f9898fa5ca'}"
GenPept-Curated-2025,class-balanced symmetric label noise,0.2,1,42,7700,990,2310,3850,3850,1540,770,770,True,True,True,label,sequence,/data/jsw/robust/data/GenPept-Curated-2025/outputs/03_split,"{'train': 'e513cb11550c37ab34683d2f3e20966adc8c09873a8d51a22ee3ae125f6a4594', 'val': 'c350bd68c56e769e1138388fdb0a0a2f1e497151baedd867901ccedb708adedc', 'test': '11c79a6425782bf9b554ac82df53afe0635bc0d458f7208fe0b4a6f9898fa5ca'}"
GenPept-Curated-2025,class-balanced symmetric label noise,0.3,1,42,7700,990,2310,3850,3850,2310,1155,1155,True,True,True,label,sequence,/data/jsw/robust/data/GenPept-Curated-2025/outputs/03_split,"{'train': 'e513cb11550c37ab34683d2f3e20966adc8c09873a8d51a22ee3ae125f6a4594', 'val': 'c350bd68c56e769e1138388fdb0a0a2f1e497151baedd867901ccedb708adedc', 'test': '11c79a6425782bf9b554ac82df53afe0635bc0d458f7208fe0b4a6f9898fa5ca'}"
GenPept-Curated-2025,class-balanced symmetric label noise,0.0,2,43,7700,990,2310,3850,3850,0,0,0,True,True,True,label,sequence,/data/jsw/robust/data/GenPept-Curated-2025/outputs/03_split,"{'train': 'e513cb11550c37ab34683d2f3e20966adc8c09873a8d51a22ee3ae125f6a4594', 'val': 'c350bd68c56e769e1138388fdb0a0a2f1e497151baedd867901ccedb708adedc', 'test': '11c79a6425782bf9b554ac82df53afe0635bc0d458f7208fe0b4a6f9898fa5ca'}"
GenPept-Curated-2025,class-balanced symmetric label noise,0.1,2,43,7700,990,2310,3850,3850,770,385,385,True,True,True,label,sequence,/data/jsw/robust/data/GenPept-Curated-2025/outputs/03_split,"{'train': 'e513cb11550c37ab34683d2f3e20966adc8c09873a8d51a22ee3ae125f6a4594', 'val': 'c350bd68c56e769e1138388fdb0a0a2f1e497151baedd867901ccedb708adedc', 'test': '11c79a6425782bf9b554ac82df53afe0635bc0d458f7208fe0b4a6f9898fa5ca'}"
GenPept-Curated-2025,class-balanced symmetric label noise,0.2,2,43,7700,990,2310,3850,3850,1540,770,770,True,True,True,label,sequence,/data/jsw/robust/data/GenPept-Curated-2025/outputs/03_split,"{'train': 'e513cb11550c37ab34683d2f3e20966adc8c09873a8d51a22ee3ae125f6a4594', 'val': 'c350bd68c56e769e1138388fdb0a0a2f1e497151baedd867901ccedb708adedc', 'test': '11c79a6425782bf9b554ac82df53afe0635bc0d458f7208fe0b4a6f9898fa5ca'}"
GenPept-Curated-2025,class-balanced symmetric label noise,0.3,2,43,7700,990,2310,3850,3850,2310,1155,1155,True,True,True,label,sequence,/data/jsw/robust/data/GenPept-Curated-2025/outputs/03_split,"{'train': 'e513cb11550c37ab34683d2f3e20966adc8c09873a8d51a22ee3ae125f6a4594', 'val': 'c350bd68c56e769e1138388fdb0a0a2f1e497151baedd867901ccedb708adedc', 'test': '11c79a6425782bf9b554ac82df53afe0635bc0d458f7208fe0b4a6f9898fa5ca'}"
GenPept-Curated-2025,class-balanced symmetric label noise,0.0,3,44,7700,990,2310,3850,3850,0,0,0,True,True,True,label,sequence,/data/jsw/robust/data/GenPept-Curated-2025/outputs/03_split,"{'train': 'e513cb11550c37ab34683d2f3e20966adc8c09873a8d51a22ee3ae125f6a4594', 'val': 'c350bd68c56e769e1138388fdb0a0a2f1e497151baedd867901ccedb708adedc', 'test': '11c79a6425782bf9b554ac82df53afe0635bc0d458f7208fe0b4a6f9898fa5ca'}"
GenPept-Curated-2025,class-balanced symmetric label noise,0.1,3,44,7700,990,2310,3850,3850,770,385,385,True,True,True,label,sequence,/data/jsw/robust/data/GenPept-Curated-2025/outputs/03_split,"{'train': 'e513cb11550c37ab34683d2f3e20966adc8c09873a8d51a22ee3ae125f6a4594', 'val': 'c350bd68c56e769e1138388fdb0a0a2f1e497151baedd867901ccedb708adedc', 'test': '11c79a6425782bf9b554ac82df53afe0635bc0d458f7208fe0b4a6f9898fa5ca'}"
