dataset,noise_type,noise_rate,rep,seed,train_size,val_size,test_size,number_noisy,amp_to_nonamp,nonamp_to_amp,validation_labels_clean,test_labels_clean,validation_source,validation_ratio,validation_seed,nested_noise_within_rep,model_training_label_column,clean_audit_label_column
XUAMP,class-balanced symmetric label noise,0.0,1,42,9914,1102,3072,0,0,0,True,True,created_from_clean_train,0.1,42,True,target,clean_target
XUAMP,class-balanced symmetric label noise,0.1,1,42,9914,1102,3072,992,496,496,True,True,created_from_clean_train,0.1,42,True,target,clean_target
XUAMP,class-balanced symmetric label noise,0.2,1,42,9914,1102,3072,1982,991,991,True,True,created_from_clean_train,0.1,42,True,target,clean_target
XUAMP,class-balanced symmetric label noise,0.3,1,42,9914,1102,3072,2974,1487,1487,True,True,created_from_clean_train,0.1,42,True,target,clean_target
XUAMP,class-balanced symmetric label noise,0.0,2,43,9914,1102,3072,0,0,0,True,True,created_from_clean_train,0.1,42,True,target,clean_target
XUAMP,class-balanced symmetric label noise,0.1,2,43,9914,1102,3072,992,496,496,True,True,created_from_clean_train,0.1,42,True,target,clean_target
XUAMP,class-balanced symmetric label noise,0.2,2,43,9914,1102,3072,1982,991,991,True,True,created_from_clean_train,0.1,42,True,target,clean_target
XUAMP,class-balanced symmetric label noise,0.3,2,43,9914,1102,3072,2974,1487,1487,True,True,created_from_clean_train,0.1,42,True,target,clean_target
XUAMP,class-balanced symmetric label noise,0.0,3,44,9914,1102,3072,0,0,0,True,True,created_from_clean_train,0.1,42,True,target,clean_target
XUAMP,class-balanced symmetric label noise,0.1,3,44,9914,1102,3072,992,496,496,True,True,created_from_clean_train,0.1,42,True,target,clean_target
XUAMP,class-balanced symmetric label noise,0.2,3,44,9914,1102,3072,1982,991,991,True,True,created_from_clean_train,0.1,42,True,target,clean_target
XUAMP,class-balanced symmetric label noise,0.3,3,44,9914,1102,3072,2974,1487,1487,True,True,created_from_clean_train,0.1,42,True,target,clean_target
XUAMP,class-balanced symmetric label noise,0.0,4,45,9914,1102,3072,0,0,0,True,True,created_from_clean_train,0.1,42,True,target,clean_target
XUAMP,class-balanced symmetric label noise,0.1,4,45,9914,1102,3072,992,496,496,True,True,created_from_clean_train,0.1,42,True,target,clean_target
XUAMP,class-balanced symmetric label noise,0.2,4,45,9914,1102,3072,1982,991,991,True,True,created_from_clean_train,0.1,42,True,target,clean_target
XUAMP,class-balanced symmetric label noise,0.3,4,45,9914,1102,3072,2974,1487,1487,True,True,created_from_clean_train,0.1,42,True,target,clean_target
XUAMP,class-balanced symmetric label noise,0.0,5,46,9914,1102,3072,0,0,0,True,True,created_from_clean_train,0.1,42,True,target,clean_target
XUAMP,class-balanced symmetric label noise,0.1,5,46,9914,1102,3072,992,496,496,True,True,created_from_clean_train,0.1,42,True,target,clean_target
XUAMP,class-balanced symmetric label noise,0.2,5,46,9914,1102,3072,1982,991,991,True,True,created_from_clean_train,0.1,42,True,target,clean_target
XUAMP,class-balanced symmetric label noise,0.3,5,46,9914,1102,3072,2974,1487,1487,True,True,created_from_clean_train,0.1,42,True,target,clean_target
